communicate,to partake of the lords supper ,when you communicate with someone  .   you are sharing information by speaking it out loud or writing it on paper . 
communicate,to partake of the lords supper ,when you communicate with someone  .   you are sharing information by speaking it out loud or writing it on paper . 
compete,to contend emulously ,when you compete for something  .   you try to keep someone else from getting the thing you want . 
compete,to contend emulously ,when you compete for something  .   you try to keep someone else from getting the thing you want . 
compute,  to count . ,when you compute a number or amount  .   you find the answer by using math to add or subtract . 
compute,  to count . ,when you compute a number or amount  .   you find the answer by using math to add or subtract . 
condition,to impose upon an object those relations or conditions without which knowledge and thought are alleged to be impossible . ,conditions are all the things that affect the way we do things or the way something happens . 
condition,to impose upon an object those relations or conditions without which knowledge and thought are alleged to be impossible . ,conditions are all the things that affect the way we do things or the way something happens . 
consider,  to ponder ,if you consider something  .   you think carefully about it . 
consider,  to ponder ,if you consider something  .   you think carefully about it . 
construct,to devise ;  to invent ;  to set in order ;  to arrange ;  as  to construct a theory of ethics . ,if you construct something you build it or make it by putting all the different parts together .  
construct,to devise ;  to invent ;  to set in order ;  to arrange ;  as  to construct a theory of ethics . ,if you construct something you build it or make it by putting all the different parts together .  
consume,  to expend ,when you consume something  .   you use it  .   eat it  .   or drink it . 
consume,  to expend ,when you consume something  .   you use it  .   eat it  .   or drink it . 
contrast,opposition or dissimilitude of things or qualities ,if you contrast items  .   you find the differences between them . 
contrast,opposition or dissimilitude of things or qualities ,if you contrast items  .   you find the differences between them . 
contribute,  to have a share in any act or effect . ,if you contribute to something  .   you give or add to make it better . 
contribute,  to have a share in any act or effect . ,if you contribute to something  .   you give or add to make it better . 
control,that which serves to check  restrain or hinder ;  restraint . ,when you control something dangerous or unsafe  .   you stop it from getting worse or spreading to other places . 
control,that which serves to check  restrain or hinder ;  restraint . ,when you control something dangerous or unsafe  .   you stop it from getting worse or spreading to other places . 
crease,one of the lines serving to define the limits of the bowler and the striker . ,creases are lines that are made in cloth or paper when it is crushed or folded . 
crease,one of the lines serving to define the limits of the bowler and the striker . ,creases are lines that are made in cloth or paper when it is crushed or folded . 
create,created ,when you create something  .   you make it for the first time . 
create,created ,when you create something  .   you make it for the first time . 
debate,contention in words or arguments ,when you debate what you should do  .   you think or talk about the different ways that you might do it before you choose the way you will actually do it . 
debate,contention in words or arguments ,when you debate what you should do  .   you think or talk about the different ways that you might do it before you choose the way you will actually do it . 
decide,to cut off ,if you decide to do something  .   you choose to do it after thinking about all the possibilities .  
decide,to cut off ,if you decide to do something  .   you choose to do it after thinking about all the possibilities .  
decrease,to cause to grow less ;  to diminish gradually ;  as  extravagance decreases ones means . ,when something decreases it becomes smaller in size or amount .  
decrease,to cause to grow less ;  to diminish gradually ;  as  extravagance decreases ones means . ,when something decreases it becomes smaller in size or amount .  
dedicate,  to devote formally and solemnly ,when someone has dedicated themselves to something  .   they have spent a lot of time and effort to it because it is important to them . 
dedicate,  to devote formally and solemnly ,when someone has dedicated themselves to something  .   they have spent a lot of time and effort to it because it is important to them . 
deduce,to derive or draw ;  to derive by logical process ;  to obtain or arrive at as the result of reasoning ;  to gather  as a truth or opinion from what precedes or from premises ;  to infer ;     with from or out of . ,if you deduce something  .   you figure out it is true because of other things that you know to be true .  
deduce,to derive or draw ;  to derive by logical process ;  to obtain or arrive at as the result of reasoning ;  to gather  as a truth or opinion from what precedes or from premises ;  to infer ;     with from or out of . ,if you deduce something  .   you figure out it is true because of other things that you know to be true .  
defend,  to oppose or resist as a claim at law ,if you defend someone or something  .   you do everything you can to protect them from harm . 
defend,  to oppose or resist as a claim at law ,if you defend someone or something  .   you do everything you can to protect them from harm . 
determine,to come to a decision ,when you are determined to do something  .   you make a choice to do it . 
determine,to come to a decision ,when you are determined to do something  .   you make a choice to do it . 
diagnose,to ascertain by diagnosis ;  to diagnosticate .  see diagnosticate . ,when someone or something is diagnosed with a sickness or problem  .   their sickness or problem has been identified . 
diagnose,to ascertain by diagnosis ;  to diagnosticate .  see diagnosticate . ,when someone or something is diagnosed with a sickness or problem  .   their sickness or problem has been identified . 
disagree,  as  medicine sometimes disagrees with the patient ,if you disagree with what someone says  .   you do not think what they say is true or correct . 
disagree,  as  medicine sometimes disagrees with the patient ,if you disagree with what someone says  .   you do not think what they say is true or correct . 
displace,  to remove from the usual or proper place ,people wo are displaced have had to move from where they lived without wanting to move . 
displace,  to remove from the usual or proper place ,people wo are displaced have had to move from where they lived without wanting to move . 
disrupt,  disrupted . ,when an activity is disrupted it means something happened to stop the activity or keep it from happening as it usually would .    
disrupt,  disrupted . ,when an activity is disrupted it means something happened to stop the activity or keep it from happening as it usually would .    
distinguish,  to know and discriminate  from other things with which it might be confounded ,when you distinguish between two things  .   you look at what makes them different from each other .  
distinguish,  to know and discriminate  from other things with which it might be confounded ,when you distinguish between two things  .   you look at what makes them different from each other .  
disturb,disturbance . ,when you disturb someone or something  .   you make them mad by interrupting what they are doing . 
disturb,disturbance . ,when you disturb someone or something  .   you make them mad by interrupting what they are doing . 
drain,  as  brewers drains . ,when a liquid drains it flows or moves from one place to another . 
drain,  as  brewers drains . ,when a liquid drains it flows or moves from one place to another . 
dwell,to abide ,if you dwell somewhere  .   you live there . 
dwell,to abide ,if you dwell somewhere  .   you live there . 
elevate,to lessen ;  to detract from ;  to disparage . ,when land is elevated it is higher than other land that is close to it .   
elevate,to lessen ;  to detract from ;  to disparage . ,when land is elevated it is higher than other land that is close to it .   
engage,to be in gear  as two cogwheels working together . ,if you engage in something  .   you take part in it .  if you engage someone else in something  .   you keep the person interested in it . 
engage,to be in gear  as two cogwheels working together . ,if you engage in something  .   you take part in it .  if you engage someone else in something  .   you keep the person interested in it . 
enhance,to raise or lift up ,if you enhance something  .   you make the thing better . 
enhance,to raise or lift up ,if you enhance something  .   you make the thing better . 
estimate,  to fix the worth of roughly or in a general way ,if you estimate something  .   you guess about its amount or size without trying to be exact
estimate,  to fix the worth of roughly or in a general way ,if you estimate the amount of something you are making a guess about how much there is of it . 
estimate,  to fix the worth of roughly or in a general way ,if you estimate something  .   you guess about its amount or size without trying to be exact
estimate,  to fix the worth of roughly or in a general way ,if you estimate the amount of something you are making a guess about how much there is of it . 
evaluate,to fix the value of ;  to rate ;  to appraise . ,if you evaluate something or someone  .   you think carefully in order to make a judgement or opinion about them . 
evaluate,to fix the value of ;  to rate ;  to appraise . ,if you evaluate something or someone  .   you think carefully in order to make a judgement or opinion about them . 
examine,  to examine a ship to know whether she is seaworthy ,when you examine something  .   you look at it carefully . 
examine,  to examine a ship to know whether she is seaworthy ,when you examine something  .   you look at it carefully . 
existence,continued or repeated manifestation ;  occurrence  as of events of any kind ;  as the existence of a calamity or of a state of war . ,when something is in existence it is real and a part of our world . 
existence,continued or repeated manifestation ;  occurrence  as of events of any kind ;  as the existence of a calamity or of a state of war . ,when something is in existence it is real and a part of our world . 
exotic,introduced from a foreign country ;  not native ;  extraneous ;  foreign ;  as  an exotic plant ;  an exotic term or word . ,something that is exotic is different and special because it comes from another country . 
exotic,introduced from a foreign country ;  not native ;  extraneous ;  foreign ;  as  an exotic plant ;  an exotic term or word . ,something that is exotic is different and special because it comes from another country . 
explain,  to expand . ,if you explain something  .   you describe it using many details so someone can understand .  
explain,  to expand . ,if you explain something  .   you describe it using many details so someone can understand .  
explorer,one who explores ;  also  an apparatus with which one explores as a diving bell . ,an explorer is someone who goes to new places or countries to learn about them . 
explorer,one who explores ;  also  an apparatus with which one explores as a diving bell . ,an explorer is someone who goes to new places or countries to learn about them . 
extreme,     said of intervals ,the extreme end of a place means that it is very far away from the starting point . 
extreme,     said of intervals ,the extreme end of a place means that it is very far away from the starting point . 
fasten,to cause to take close effect ,when you fasten something you tie it to something else with string or you tape it to something else
fasten,to cause to take close effect ,when you fasten something you tie it to something else with string or you tape it to something else
fatal,causing death or destruction ;  deadly ;  mortal ;  destructive ;  calamitous ;  as  a fatal wound ;  a fatal disease ;  a fatal day ;  a fatal error . ,when an illness or an accident causes someone to die we say it was fatal . 
fatal,causing death or destruction ;  deadly ;  mortal ;  destructive ;  calamitous ;  as  a fatal wound ;  a fatal disease ;  a fatal day ;  a fatal error . ,when an illness or an accident causes someone to die we say it was fatal . 
flap,to move as do wings  or as something broad or loose ;  to fly with wings beating the air . ,if a bird flaps its wings  .   his wings move quickly up and down . 
flap,to move as do wings  or as something broad or loose ;  to fly with wings beating the air . ,if a bird flaps its wings  .   his wings move quickly up and down . 
force,to stuff ;  to lard ;  to farce . ,the force of something tells us how strong it is
force,to stuff ;  to lard ;  to farce . ,the force of something tells us how strong it is
form,to take a form  definite shape or arrangement ;  as the infantry should form in column . ,if you form something  .   you create it or shape it . 
form,to take a form  definite shape or arrangement ;  as the infantry should form in column . ,if you form something  .   you create it or shape it . 
fraction,a portion ;  a fragment . ,a fraction of something is a small amount or piece of it .  
fraction,a portion ;  a fragment . ,a fraction of something is a small amount or piece of it .  
generate,to beget ;  to procreate ;  to propagate ;  to produce  ;  to engender ;  as  every animal generates its own species . ,if you generate something  .   you bring it into being or cause it to be .  
generate,to beget ;  to procreate ;  to propagate ;  to produce  ;  to engender ;  as  every animal generates its own species . ,if you generate something  .   you bring it into being or cause it to be .  
grapple,  to close ,if you grapple with someone  .   you take hold of them and struggle with them  .   as part of a fight .  
grapple,  to close ,if you grapple with someone  .   you take hold of them and struggle with them  .   as part of a fight .  
greedy,  ravenous ,someone who is greedy wants to have more things than he or she needs or more than what is fair to have . 
greedy,  ravenous ,someone who is greedy wants to have more things than he or she needs or more than what is fair to have . 
guidance,the act or result of guiding ;  the superintendence or assistance of a guide ;  direction ;  government ;  a leading . ,when someone gives you guidance they help you by telling you what you should do . 
guidance,the act or result of guiding ;  the superintendence or assistance of a guide ;  direction ;  government ;  a leading . ,when someone gives you guidance they help you by telling you what you should do . 
habitat,place where anything is commonly found . ,the habitat of an animal or plant is the place where they usually live or grow in . 
habitat,place where anything is commonly found . ,the habitat of an animal or plant is the place where they usually live or grow in . 
humid,containing sensible moisture ;  damp ;  moist ;  as  a humidair or atmosphere ;  somewhat wet or watery ;  as humid earth ;  consisting of water or vapor . ,when the air around us is hot and wet  .   we say that it is humid .   
humid,containing sensible moisture ;  damp ;  moist ;  as  a humidair or atmosphere ;  somewhat wet or watery ;  as humid earth ;  consisting of water or vapor . ,when the air around us is hot and wet  .   we say that it is humid .   
import,that which a word  phrase or document contains as its signification or intention or interpretation of a word action event and the like . ,when you import  .   you buy things from another country to sell them in your country . 
import,that which a word  phrase or document contains as its signification or intention or interpretation of a word action event and the like . ,when you import  .   you buy things from another country to sell them in your country . 
improve,  to censure ,if you improve something  .   you make it better . 
improve,  to censure ,if you improve something  .   you make it better . 
integrate,to subject to the operation of integration ;  to find the integral of . ,if you integrate something  .   you combine it with other things to create a new whole . 
integrate,to subject to the operation of integration ;  to find the integral of . ,if you integrate something  .   you combine it with other things to create a new whole . 
interact,  as  two agents mutually interact . ,when you interact with someone  .   you talk to the them while spending time together . 
interact,  as  two agents mutually interact . ,when you interact with someone  .   you talk to the them while spending time together . 
interpret,  to decipher ,if you interpret something  .   you figure out what you think it means . 
interpret,  to decipher ,if you interpret something  .   you figure out what you think it means . 
interview,to have an interview with ,when someone interviews you for a job they ask you questions to see if you are able to do that job . 
interview,to have an interview with ,when someone interviews you for a job they ask you questions to see if you are able to do that job . 
introduce,  to cause to exist ,when you introduce one person to another  .   you tell them each others names  .   so that they can get to know each other . 
introduce,  to cause to exist ,when you introduce one person to another  .   you tell them each others names  .   so that they can get to know each other . 
intrusion,  especially the forcing  into a place without right or welcome ,when someone or something enters into a space where it is not welcomed or wanted it is an intrusion .  
intrusion,  especially the forcing  into a place without right or welcome ,when someone or something enters into a space where it is not welcomed or wanted it is an intrusion .  
invasive,tending to invade ;  characterized by invasion ;  aggressive . ,when something that is not wanted spreads very quickly and it is hard to stop from going everywhere you say it is invasive . 
invasive,tending to invade ;  characterized by invasion ;  aggressive . ,when something that is not wanted spreads very quickly and it is hard to stop from going everywhere you say it is invasive . 
investigation,the act of investigating ,when someone does an investigation  .   they try to find out what really happened or what is the truth . 
investigation,the act of investigating ,when someone does an investigation  .   they try to find out what really happened or what is the truth . 
isolation,the act of isolating  or the state of being isolated ,you feel isolated when you feel alone and without friends or help . 
isolation,the act of isolating  or the state of being isolated ,you feel isolated when you feel alone and without friends or help . 
jam,a mass of people or objects crowded together ;  also  the pressure from a crowd ;  a crush ;  as a jam in a street ;  a jam of logs in a river . ,when you jam something you push into something in a rough way . 
jam,a mass of people or objects crowded together ;  also  the pressure from a crowd ;  a crush ;  as a jam in a street ;  a jam of logs in a river . ,when you jam something you push into something in a rough way . 
jeopardize,to expose to loss or injury ;  to risk ;  to jeopard . ,when you jeopardize a place or thing you do something that can hurt  .   damage  .   or detroy it . 
jeopardize,to expose to loss or injury ;  to risk ;  to jeopard . ,when you jeopardize a place or thing you do something that can hurt  .   damage  .   or detroy it . 
journey,the travel or work of a day . ,when you go on a journey it means you take a trip and go from one place to another . 
journey,the travel or work of a day . ,when you go on a journey it means you take a trip and go from one place to another . 
judge,one who has skill  knowledge or experience sufficient to decide on the merits of a question or on the quality or value of anything ,if you judge something  .   you give your opinion about it .  
judge,one who has skill  knowledge or experience sufficient to decide on the merits of a question or on the quality or value of anything ,if you judge something  .   you give your opinion about it .  
justify,  to ratify ,to justify a decision  .   action  .   or idea means to show that it is fair and needed . 
justify,  to ratify ,to justify a decision  .   action  .   or idea means to show that it is fair and needed . 
league,an alliance or combination of two or more nations  parties or persons for the accomplishment of a purpose which requires a continued course of action as for mutual defense or for furtherance of commercial religious or political interests etc . ,a league is a group that has come together to do something or to share information about things that are of interest to all of those in the group . 
league,an alliance or combination of two or more nations  parties or persons for the accomplishment of a purpose which requires a continued course of action as for mutual defense or for furtherance of commercial religious or political interests etc . ,a league is a group that has come together to do something or to share information about things that are of interest to all of those in the group . 
leisure,  hence convenience ,leisure is the time when you are not working and you can relax and do things that you like . 
leisure,  hence convenience ,leisure is the time when you are not working and you can relax and do things that you like . 
list,a narrow strip of wood  esp .  sapwood cut from the edge of a plank or board . ,to list several things means to write or say them one after another  .   usually in a specific order . 
list,a narrow strip of wood  esp .  sapwood cut from the edge of a plank or board . ,to list several things means to write or say them one after another  .   usually in a specific order . 
locate,to designate the site or place of ,if you locate something or someone  .   you find out where they are . 
locate,to designate the site or place of ,if you locate something or someone  .   you find out where they are . 
match,  as these vases match . ,if something of a certain color or design matches another thing  .   they have the same color or design . 
match,  as these vases match . ,if something of a certain color or design matches another thing  .   they have the same color or design . 
measure,beds or strata ;  as  coal measures ;  lead measures . ,if something measures a particular length  .   width  .   or amount  .   that is its size expressed in numbers . 
measure,beds or strata ;  as  coal measures ;  lead measures . ,if something measures a particular length  .   width  .   or amount  .   that is its size expressed in numbers . 
moist,moderately wet ,a place or thing that is moist is a little wet . 
moist,moderately wet ,a place or thing that is moist is a little wet . 
monument,  a memorial . ,a monument is often made of stone and is built to remind people of an important person or of something important that happened in history . 
monument,  a memorial . ,a monument is often made of stone and is built to remind people of an important person or of something important that happened in history . 
neglect,the state of being disregarded  slighted or neglected . ,when you neglect something  .   you don’t take care of it the way you should . 
neglect,the state of being disregarded  slighted or neglected . ,when you neglect something  .   you don’t take care of it the way you should . 
noble,  magnificent ,some one who is noble is admired because they share with others and are good to others . 
noble,  magnificent ,some one who is noble is admired because they share with others and are good to others . 
notify,  the bell notifies us of the time of meeting . ,when you notify someone you tell them something in writing . 
notify,  the bell notifies us of the time of meeting . ,when you notify someone you tell them something in writing . 
observe,  to comply with ,if you observe something  .   you watch it happen or look closely to see what will happen . 
observe,  to comply with ,if you observe something  .   you watch it happen or look closely to see what will happen . 
organize,     in this sense used chiefly in the past participle . ,if you organize things  .   you put them in a certain order or plan them in a specific way . 
organize,     in this sense used chiefly in the past participle . ,if you organize things  .   you put them in a certain order or plan them in a specific way . 
overcome,to come or pass over ;  to spreads over . ,to overcome is be able to handle a problem well . 
overcome,to come or pass over ;  to spreads over . ,to overcome is be able to handle a problem well . 
overflow,to flow over ,when a river has overflowed  .   the water fills to the top and spills over the edges of the river . 
overflow,to flow over ,when a river has overflowed  .   the water fills to the top and spills over the edges of the river . 
overlook,to inspect ,when you overlook something you don’t see it . 
overlook,to inspect ,when you overlook something you don’t see it . 
paraphrase,a restatement of a text  passage or work expressing the meaning of the original in another form generally for the sake of its clearer and fuller exposition ;  a setting forth the signification of a text in other and ampler terms ;  a free translation or rendering ;     opposed to metaphrase . ,if you paraphrase something you say it in a different way or using different words . 
paraphrase,a restatement of a text  passage or work expressing the meaning of the original in another form generally for the sake of its clearer and fuller exposition ;  a setting forth the signification of a text in other and ampler terms ;  a free translation or rendering ;     opposed to metaphrase . ,if you paraphrase something you say it in a different way or using different words . 
participate,acting in common ,if you participate in an activity  .   you take part in it . 
participate,acting in common ,if you participate in an activity  .   you take part in it . 
pattern,  that which is to be  or is worthy to be copied or imitated ,when you make a pattern you repeat the design over and over again . 
pattern,  that which is to be  or is worthy to be copied or imitated ,when you make a pattern you repeat the design over and over again . 
pattern,  that which is to be  or is worthy to be copied or imitated ,when you make a pattern you repeat the design over and over again . 
pattern,  that which is to be  or is worthy to be copied or imitated ,when you make a pattern you repeat the design over and over again . 
persuade,to convince by argument  or by reasons offered or suggested from reflection etc .  ;  to cause to believe . ,if you persuade someone to do something  .   you get them to do it by giving them good reasons for doing it .  
persuade,to convince by argument  or by reasons offered or suggested from reflection etc .  ;  to cause to believe . ,if you persuade someone to do something  .   you get them to do it by giving them good reasons for doing it .  
plan,  to form in design ,if you plan something  .   you decide in advance what you are going to do . 
plan,  to form in design ,if you plan something  .   you decide in advance what you are going to do . 
predict,to tell or declare beforehand ,when you predict something  .   you say what you think will happen . 
predict,to tell or declare beforehand ,when you predict something  .   you say what you think will happen . 
present,  immediate ,if you present something  .   you show it or give it to someone . 
present,  immediate ,if you present something  .   you show it or give it to someone . 
preserve,to keep or save from injury or destruction ,if you preserve a place or thing you do what is needed to save it or protect it from damage . 
preserve,to keep or save from injury or destruction ,if you preserve a place or thing you do what is needed to save it or protect it from damage . 
prevent,to come before the usual time . ,when you do everything you can to make sure that something bad doesnt happen  .   you are preventing it from happening . 
prevent,to come before the usual time . ,when you do everything you can to make sure that something bad doesnt happen  .   you are preventing it from happening . 
produce,  result of labor especially of agricultural labors,if you produce something  .   you make it or you create it . 
produce,  result of labor especially of agricultural labors,if you produce something  .   you make it or you create it . 
quantity,that which can be increased  diminished or measured ;  especially  anything to which mathematical processes are applicable . ,a quantity is an amount or how much there is of something . 
quantity,that which can be increased  diminished or measured ;  especially  anything to which mathematical processes are applicable . ,a quantity is an amount or how much there is of something . 
range,in the public land system of the united states  a row or line of townships lying between two successive meridian lines six miles apart . ,a range includes all the different things that are in the same category or group . 
range,in the public land system of the united states  a row or line of townships lying between two successive meridian lines six miles apart . ,a range includes all the different things that are in the same category or group . 
recall,  to recollect ,if you recall something  .   you remember it and think about it . 
recall,  to recollect ,if you recall something  .   you remember it and think about it . 
recognize,  to recognize a consul . ,if you recognize someone or something  .   you know who that person is or what that thing is by looking at it . 
recognize,  to recognize a consul . ,if you recognize someone or something  .   you know who that person is or what that thing is by looking at it . 
record,that which has been publicly achieved in any kind of competitive sport as recorded in some authoritative manner  as the time made by a winning horse in a race . ,if you record something  .   you make a written  .   audio  .   or video version of it that can be looked at or listened to in the future . 
record,that which has been publicly achieved in any kind of competitive sport as recorded in some authoritative manner  as the time made by a winning horse in a race . ,if you record something  .   you make a written  .   audio  .   or video version of it that can be looked at or listened to in the future . 
refine,to reduce to a fine  unmixed or pure state ;  to free from impurities ;  to free from dross or alloy ;  to separate from extraneous matter ;  to purify ;  to defecate ;  as to refine gold or silver ;  to refine iron ;  to refine wine or sugar . ,if you refine something  .   you make small changes to make it better  .   clearer  .   or more specific . 
refine,to reduce to a fine  unmixed or pure state ;  to free from impurities ;  to free from dross or alloy ;  to separate from extraneous matter ;  to purify ;  to defecate ;  as to refine gold or silver ;  to refine iron ;  to refine wine or sugar . ,if you refine something  .   you make small changes to make it better  .   clearer  .   or more specific . 
refuge,shelter or protection from danger or distress . ,if you take refuge somewhere  .   you go to a safe place to protect yourself from getting hurt .  
refuge,shelter or protection from danger or distress . ,if you take refuge somewhere  .   you go to a safe place to protect yourself from getting hurt .  
refuse,  of no value ,when you refuse to do something you tell others that you will not do it . 
refuse,  of no value ,when you refuse to do something you tell others that you will not do it . 
region,place ,a region is a large piece of land that is different from other parts of land around it . 
region,place ,a region is a large piece of land that is different from other parts of land around it . 
release,  a conveyance of a mans right in lands or tenements to another who has some estate in possession ,if a person or animal is locked up and you set them free into the world  .   you are releasing them . 
release,  a conveyance of a mans right in lands or tenements to another who has some estate in possession ,if a person or animal is locked up and you set them free into the world  .   you are releasing them . 
report,to make minutes of  as a speech or the doings of a public body ,if you report something that has happened  .   you tell people about it . 
report,to make minutes of  as a speech or the doings of a public body ,if you report something that has happened  .   you tell people about it . 
retell,to tell again . ,if you retell a story  .   you write it or tell it again in a different way from the first time you heard it .  
retell,to tell again . ,if you retell a story  .   you write it or tell it again in a different way from the first time you heard it .  
satisfy,  to convince ,when something satisfies you it means you got everything that you needed . 
satisfy,  to convince ,when something satisfies you it means you got everything that you needed . 
saturate,  to fill fully ,when land is saturated it is very  .   very wet .   
saturate,  to fill fully ,when land is saturated it is very  .   very wet .   
select,taken from a number by preferance ;  picked out as more valuable or exellent than others ;  of special value or exellence ;  nicely chosen ;  selected ;  choice . ,if you select something  .   you choose it from a number of things of the same kind . 
select,taken from a number by preferance ;  picked out as more valuable or exellent than others ;  of special value or exellence ;  nicely chosen ;  selected ;  choice . ,if you select something  .   you choose it from a number of things of the same kind . 
series,  a geometrical series . ,when you have more than one of the same thing and they come one after another it is called a series . 
series,  a geometrical series . ,when you have more than one of the same thing and they come one after another it is called a series . 
settle,to cause to sink ;  to lower ;  to depress ;  hence  also to render close or compact ;  as to settle the contents of a barrel or bag by shaking it . ,when a person or animal has settled into a place  .   they will live there for a long time . 
settle,to cause to sink ;  to lower ;  to depress ;  hence  also to render close or compact ;  as to settle the contents of a barrel or bag by shaking it . ,when a person or animal has settled into a place  .   they will live there for a long time . 
share,the part  of a plow which cuts the ground at the bottom of a furrow ,if you share something that you have with someone  .   you give some of it to them or let them use it . 
share,the part  of a plow which cuts the ground at the bottom of a furrow ,if you share something that you have with someone  .   you give some of it to them or let them use it . 
shrink,  as  to shrink finnel by imersing it in boiling water . ,when something shrinks in size  .   it gets smaller . 
